feature,importance
技術指標_月RSI(10),0.08505373646264584
技術指標_Alpha(250D),0.07923571960340565
技術指標_季K(9),0.07682067969011729
技術指標_季-DI(14),0.07491529002317678
技術指標_週RSI(5),0.07456360525095719
技術指標_季RSI(5),0.06713041774928086
技術指標_月K(9),0.06330607533619312
技術指標_RSI(5),0.05895371911872511
技術指標_W%R(10),0.05857664935315956
外資券商_分點出貨比(%),0.0517821082164573
上市加權指數19天乖離率,0.04495272043044879
上市加權指數前2天成交量,0.04009031168719954
上市加權指數前13天成交量,0.03331572398266198
上市加權指數前18天成交量,0.03280636945077327
上市加權指數5天乖離率,0.03252608262427582
上市加權指數前1天成交量,0.03229013640803861
技術指標_相對強弱比(週),0.028051815817060535
上市加權指數前12天成交量,0.023715396706517365
上市加權指數前17天成交量,0.02314219151730532
上市加權指數10天乖離率,0.018771250571600253
