iter	F1	Logloss
0	0.917025466	0.6196439714
1	0.9264257765	0.5541934063
2	0.9255907888	0.5073687192
3	0.9256723325	0.4654266473
4	0.9244950542	0.4300885637
5	0.9241924064	0.3974827365
6	0.9245202591	0.3735321088
7	0.9289555494	0.3471124113
8	0.9281169477	0.3261915174
9	0.9289477339	0.3104741447
10	0.9314881391	0.2925347355
11	0.9316279177	0.2798276329
12	0.932139506	0.2707724048
13	0.9335113532	0.2617438566
14	0.9338492139	0.250489875
15	0.9337481082	0.2432090029
16	0.9343396929	0.236980499
17	0.9351411137	0.231080527
18	0.9353470352	0.2261234765
19	0.9355219987	0.2204094222
20	0.9373328646	0.2155707497
21	0.9383496377	0.2114340659
22	0.9387490699	0.2077122778
23	0.9382423084	0.2028533151
24	0.9388479457	0.1998103056
25	0.9396655194	0.1971621593
26	0.9397926765	0.1951728115
27	0.9402871361	0.192993394
28	0.9408264943	0.1907494191
29	0.9403238835	0.1886221864
30	0.9405953383	0.1868171067
31	0.9416201428	0.1844257538
32	0.9417333455	0.1828928937
33	0.9422742641	0.1808813321
34	0.942807574	0.1791700287
35	0.9432923691	0.1781425693
36	0.9432895342	0.1771573736
37	0.9437654831	0.1758784475
38	0.9446993391	0.174703693
39	0.9452735449	0.1733272032
40	0.9457509772	0.1722979826
41	0.9458673254	0.1706753659
42	0.9464437943	0.1697731625
43	0.9461512218	0.1687447162
44	0.947125071	0.1677545569
45	0.9471762077	0.1670422918
46	0.9465034901	0.1659176419
47	0.9474916728	0.1649970701
48	0.9476025619	0.1642355408
49	0.9476765023	0.1630230552
50	0.9478386428	0.1622202791
51	0.9480634557	0.1615682576
52	0.9481773257	0.1608999798
53	0.9483795123	0.1601393086
54	0.9485333457	0.1592081801
55	0.9494635712	0.1585074963
56	0.9491126265	0.1576090279
57	0.9505863092	0.1561178508
58	0.9502446558	0.1554589123
59	0.9513041549	0.1543548409
60	0.9526825998	0.1537462672
61	0.9528453394	0.1527405449
62	0.9529652883	0.1517639281
63	0.9531767004	0.1504681772
64	0.9533710537	0.1496917179
65	0.9535140111	0.14884046
66	0.9532196921	0.1483354223
67	0.9537857483	0.1477398728
68	0.9543543726	0.1469415786
69	0.9544975029	0.1464297354
70	0.9546320846	0.1459479817
71	0.9547380586	0.145316494
72	0.9548841694	0.1447061843
73	0.9550102617	0.1441903972
74	0.9555960187	0.1428199243
75	0.9557336634	0.1422799404
76	0.9550578186	0.1416427237
77	0.9560578587	0.1403965816
78	0.9562013781	0.1397675696
79	0.9559225563	0.138891834
80	0.9560948828	0.1379066992
81	0.9565661112	0.1375423975
82	0.9575621576	0.1371069927
83	0.9575822767	0.1361504281
84	0.9576800102	0.1352753148
85	0.9573618046	0.1348345845
86	0.9575343562	0.1338269783
87	0.9576321631	0.1332048369
88	0.9577501332	0.1324883121
89	0.9578623757	0.1321400776
90	0.9579890399	0.1316155644
91	0.9585461098	0.1308490649
92	0.9590769523	0.1302929382
93	0.9591605013	0.1298251379
94	0.959763106	0.1290711146
95	0.9598985991	0.128644036
96	0.9600572035	0.1280781942
97	0.9601581608	0.1277063388
98	0.9602620248	0.1272837523
99	0.9603341658	0.1269851146
100	0.9604467274	0.1267063511
101	0.9609482842	0.1264233021
102	0.9611446469	0.1259636108
