iter	Passed	Remaining
0	18	4560
1	38	4775
2	55	4617
3	71	4474
4	88	4397
5	106	4374
6	122	4302
7	139	4266
8	157	4265
9	175	4258
10	193	4261
11	212	4258
12	229	4233
13	246	4207
14	265	4211
15	282	4182
16	300	4172
17	319	4170
18	336	4143
19	353	4119
20	370	4095
21	388	4074
22	406	4061
23	425	4061
24	443	4044
25	460	4017
26	477	3994
27	495	3981
28	512	3959
29	529	3935
30	546	3914
31	564	3896
32	580	3871
33	599	3861
34	615	3836
35	632	3814
36	649	3793
37	668	3781
38	683	3749
39	702	3739
40	720	3723
41	738	3710
42	756	3692
43	774	3680
44	792	3660
45	809	3644
46	828	3630
47	846	3614
48	864	3600
49	881	3580
50	899	3561
51	915	3539
52	932	3520
53	950	3503
54	968	3488
55	988	3477
56	1006	3460
57	1024	3445
58	1043	3431
59	1062	3416
60	1080	3401
61	1098	3382
62	1117	3371
63	1137	3358
64	1156	3344
65	1179	3343
66	1196	3321
67	1213	3301
68	1233	3288
69	1248	3264
70	1264	3240
71	1281	3220
72	1297	3200
73	1315	3181
74	1334	3167
75	1352	3149
76	1371	3134
77	1389	3118
78	1408	3102
79	1426	3085
80	1446	3072
81	1463	3051
82	1480	3031
83	1498	3014
84	1514	2993
85	1531	2974
86	1548	2955
87	1566	2937
88	1582	2916
89	1600	2898
90	1616	2878
91	1633	2858
92	1651	2841
93	1669	2824
94	1687	2806
95	1704	2788
96	1722	2770
97	1740	2752
98	1757	2734
99	1774	2714
100	1790	2694
101	1808	2676
102	1824	2656
103	1843	2640
104	1860	2622
105	1878	2604
106	1894	2585
107	1911	2566
108	1928	2547
109	1948	2533
110	1965	2514
111	1981	2494
112	1998	2475
113	2013	2455
114	2031	2437
115	2048	2419
116	2065	2401
117	2082	2382
118	2100	2364
119	2115	2345
120	2134	2328
121	2152	2311
122	2168	2292
123	2184	2272
124	2202	2255
125	2219	2236
126	2236	2219
127	2253	2201
128	2271	2183
129	2288	2165
130	2305	2147
131	2323	2130
132	2342	2113
133	2361	2096
134	2377	2078
135	2395	2061
136	2414	2044
137	2431	2026
138	2448	2008
139	2467	1991
140	2486	1974
141	2527	1975
142	2545	1958
143	2561	1938
144	2578	1920
145	2594	1901
146	2610	1882
147	2627	1864
148	2644	1845
149	2660	1827
150	2676	1808
151	2694	1790
152	2711	1771
153	2727	1753
154	2743	1734
155	2760	1716
156	2778	1698
157	2793	1679
158	2810	1661
159	2827	1643
160	2844	1625
161	2860	1606
162	2877	1588
163	2895	1571
164	2914	1554
165	2932	1536
166	2948	1518
167	2965	1500
168	2983	1482
169	3000	1464
170	3017	1447
171	3034	1428
172	3050	1410
173	3068	1393
174	3086	1375
175	3103	1357
176	3120	1339
177	3138	1322
178	3157	1305
179	3176	1288
180	3194	1270
181	3212	1253
182	3229	1235
183	3248	1218
184	3267	1201
185	3284	1182
186	3301	1165
187	3318	1147
188	3336	1129
189	3355	1112
190	3372	1094
191	3390	1077
192	3408	1059
193	3426	1041
194	3444	1024
195	3460	1006
196	3476	988
197	3494	970
198	3512	953
199	3531	935
200	3548	918
201	3565	900
202	3582	882
203	3597	864
204	3613	846
205	3629	828
206	3648	810
207	3665	792
208	3682	775
209	3699	757
210	3716	739
211	3733	721
212	3751	704
213	3769	687
214	3786	669
215	3803	651
216	3820	633
217	3852	618
218	3868	600
219	3885	582
220	3900	564
221	3916	546
222	3932	529
223	3948	511
224	3965	493
225	3981	475
226	3998	457
227	4015	440
228	4032	422
229	4047	404
230	4063	387
231	4080	369
232	4097	351
233	4115	334
234	4132	316
235	4149	298
236	4167	281
237	4184	263
238	4201	246
239	4218	228
240	4236	210
241	4254	193
242	4270	175
243	4287	158
244	4304	140
245	4323	123
246	4342	105
247	4360	87
248	4378	70
249	4395	52
250	4413	35
251	4430	17
252	4448	0
