feature,importance
上市加權指數5天乖離率,1356
上市加權指數10天成交量波動度,1226
上市加權指數前13天成交量,1196
上市加權指數1天報酬率,1195
上市加權指數前2天成交量,1155
上市加權指數19天乖離率,1108
季IFRS財報_運用資本對資產總額比率(%),1048
技術指標_季ADX(14),1042
官股券商_持股比率(%),1002
技術指標_月ADX(14),1001
技術指標_季DIF-季MACD,999
上市加權指數10天報酬率,993
上市加權指數20天成交量波動度,988
上市加權指數前3天成交量,988
技術指標_季K(9),980
技術指標_月RSI(10),979
季IFRS財報_現金與流動資產比率(%),972
日外資_外資尚可投資張數,962
上市加權指數前17天成交量,955
技術指標_Alpha(250D),944
技術指標_季TR(14),939
上市加權指數20天報酬率,939
上市加權指數20天波動度,926
主力券商_前7天分點買賣力,907
個股券商分點區域分析_近20日賣超5分點區域密度,880
技術指標_Beta係數(250D),877
個股券商分點區域分析_近60日成交5分點區域密度,870
季IFRS財報_總資產週轉率累季(次),867
技術指標_月+DI(14),854
技術指標_Beta係數(65D),841
主力券商_前20天分點買賣力,840
技術指標_季ADXR(14),836
上市加權指數前7天成交量,836
季IFRS財報_總資產成長率(%),830
上市加權指數前5天成交量,819
技術指標_季+DI(14),812
個股主力買賣超統計_近10日主力買賣超(%),799
技術指標_季-DI(14),788
買超第13名分點前2天買均張,787
技術指標_季+DM(14),786
個股前6天成交量,786
上市加權指數前6天成交量,781
上市加權指數前4天成交量,781
外資券商_分點買賣力,773
技術指標_ADX(14),770
技術指標_RSI(10),767
上市加權指數前1天成交量,763
技術指標_週RSI(5),762
技術指標_月-DI(14),762
技術指標_季RSI(10),760
上市加權指數10天波動度,760
技術指標_週ADX(14),754
上市加權指數前9天收盤價,751
賣超第15名分點前12天券商代號,749
外資券商_前15天分點出貨比(%),741
買超第12名分點前6天券商代號,739
技術指標_季RSI(5),736
技術指標_ADXR(14),733
上市加權指數前16天成交量,729
上市加權指數前18天成交量,724
上市加權指數5天報酬率,718
技術指標_TR(1),712
技術指標_月D(9),710
個股主力買賣超統計_近1日主力買賣超(%),710
主力券商_前5天分點出貨比(%),706
主力券商_分點買賣力,704
個股主力買賣超統計_近20日主力買賣超(%),700
上市加權指數前20天成交量,697
個股5天乖離率,697
主力券商_前1天分點吃貨比(%),695
個股5天報酬率,694
主力券商_前16天分點買賣力,693
技術指標_D(9),688
賣超第6名分點前8天券商代號,684
技術指標_週K(9),684
個股券商分點籌碼分析_近20日賣出分佈係數,683
技術指標_+DI(14),676
技術指標_K(9),675
個股主力買賣超統計_近240日主力買賣超(%),673
技術指標_CM-VIX(%),672
上市加權指數10天乖離率,662
個股券商分點籌碼分析_交易賣出佔有率(%),647
個股券商分點區域分析_近5日成交5分點區域密度,644
個股1天報酬率,641
上市加權指數前8天成交量,638
上市加權指數前12天成交量,637
技術指標_週RSI(10),636
技術指標_相對強弱比(週),636
買超第5名分點前2天券商代號,634
季IFRS財報_原始累計每股營業額(元),634
季IFRS財報_稅前純益佔實收資本比率(%),630
個股券商分點區域分析_近1日賣超5分點區域密度,630
技術指標_週D(9),609
技術指標_月K(9),607
個股主力買賣超統計_近60日主力買賣超(%),601
上市加權指數前14天成交量,598
個股券商分點區域分析_近20日成交5分點區域密度,587
季IFRS財報_原始累計每股營業利益(元),586
上市加權指數前10天成交量,579
技術指標_MACD,578
技術指標_RSI(5),576
個股券商分點區域分析_近5日成交3分點區域密度,576
季IFRS財報_營業利益佔實收資本比率累季(%),555
上市加權指數前11天成交量,549
技術指標_W%R(5),544
技術指標_月RSI(5),537
技術指標_EWMA波動率(%),518
技術指標_W%R(10),499
上市加權指數前9天成交量,487
技術指標_乖離率(250日),458
個股券商分點區域分析_近60日成交2分點區域密度,445
季IFRS財報_營業利益佔實收資本比率(%),444
上市加權指數前7天收盤價,424
上市加權指數前15天收盤價,418
上市加權指數前4天收盤價,406
上市加權指數前12天收盤價,397
上市加權指數前3天收盤價,383
上市加權指數前18天收盤價,347
上市加權指數前14天收盤價,341
上市加權指數前20天收盤價,312
