feature,importance
技術指標_月RSI(10),463
上市加權指數19天乖離率,343
上市加權指數5天乖離率,324
上市加權指數10天報酬率,283
上市加權指數前2天成交量,278
上市加權指數前13天成交量,270
上市加權指數前12天成交量,267
上市加權指數20天成交量波動度,241
上市加權指數20天波動度,220
上市加權指數前3天成交量,213
上市加權指數20天報酬率,212
上市加權指數1天報酬率,210
技術指標_RSI(10),198
上市加權指數前9天收盤價,198
上市加權指數前5天成交量,191
技術指標_月ADX(14),191
技術指標_季K(9),191
上市加權指數前18天成交量,189
上市加權指數前17天成交量,185
上市加權指數10天成交量波動度,180
技術指標_週RSI(5),172
上市加權指數前7天成交量,170
上市加權指數前1天成交量,170
上市加權指數5天報酬率,166
上市加權指數前16天成交量,165
上市加權指數10天乖離率,164
技術指標_Alpha(250D),164
技術指標_季RSI(10),156
上市加權指數前14天成交量,153
技術指標_週RSI(10),153
上市加權指數前4天成交量,150
上市加權指數前7天收盤價,142
上市加權指數前11天成交量,135
官股券商_持股比率(%),135
技術指標_月RSI(5),134
個股5天乖離率,134
上市加權指數前9天成交量,132
技術指標_季-DI(14),130
上市加權指數前6天成交量,127
技術指標_月-DI(14),124
技術指標_Beta係數(250D),124
上市加權指數10天波動度,121
技術指標_月+DI(14),120
技術指標_季+DI(14),118
技術指標_季ADX(14),117
個股主力買賣超統計_近10日主力買賣超(%),115
技術指標_季DIF-季MACD,115
上市加權指數前15天收盤價,115
上市加權指數前20天成交量,113
個股主力買賣超統計_近1日主力買賣超(%),113
個股券商分點區域分析_近60日成交5分點區域密度,112
技術指標_季RSI(5),112
技術指標_Beta係數(65D),111
技術指標_ADX(14),110
季IFRS財報_現金與流動資產比率(%),109
上市加權指數前12天收盤價,108
技術指標_K(9),108
技術指標_週ADX(14),106
技術指標_季TR(14),106
上市加權指數前8天成交量,104
季IFRS財報_運用資本對資產總額比率(%),102
日外資_外資尚可投資張數,102
季IFRS財報_原始累計每股營業額(元),99
主力券商_前7天分點買賣力,99
季IFRS財報_總資產成長率(%),99
上市加權指數前3天收盤價,99
個股1天報酬率,98
技術指標_相對強弱比(週),97
技術指標_週D(9),97
個股5天報酬率,96
技術指標_D(9),95
技術指標_季ADXR(14),94
技術指標_RSI(5),93
上市加權指數前4天收盤價,91
個股券商分點區域分析_近1日賣超5分點區域密度,87
上市加權指數前10天成交量,86
技術指標_乖離率(250日),84
個股主力買賣超統計_近20日主力買賣超(%),84
技術指標_月K(9),83
技術指標_CM-VIX(%),81
技術指標_月D(9),79
季IFRS財報_總資產週轉率累季(次),76
技術指標_週K(9),76
主力券商_前5天分點出貨比(%),76
個股主力買賣超統計_近240日主力買賣超(%),74
技術指標_MACD,73
個股券商分點區域分析_近20日賣超5分點區域密度,71
上市加權指數前14天收盤價,71
技術指標_+DI(14),71
技術指標_ADXR(14),71
技術指標_季+DM(14),71
