feature,importance
上市加權指數1天報酬率,1027
上市加權指數前13天成交量,986
上市加權指數前2天成交量,976
上市加權指數10天成交量波動度,956
技術指標_月ADX(14),914
上市加權指數5天乖離率,909
季IFRS財報_運用資本對資產總額比率(%),862
技術指標_月RSI(10),843
技術指標_季K(9),824
技術指標_季ADX(14),819
日外資_外資尚可投資張數,805
官股券商_持股比率(%),796
上市加權指數19天乖離率,789
上市加權指數前3天成交量,785
上市加權指數20天波動度,778
季IFRS財報_現金與流動資產比率(%),776
上市加權指數前17天成交量,767
個股券商分點區域分析_近60日成交5分點區域密度,765
主力券商_前7天分點買賣力,763
技術指標_季TR(14),759
上市加權指數10天報酬率,759
上市加權指數20天報酬率,757
上市加權指數20天成交量波動度,747
技術指標_Alpha(250D),745
季IFRS財報_總資產週轉率累季(次),735
個股券商分點區域分析_近20日賣超5分點區域密度,735
技術指標_Beta係數(250D),735
上市加權指數前7天成交量,722
技術指標_Beta係數(65D),718
技術指標_季DIF-季MACD,718
主力券商_前20天分點買賣力,706
季IFRS財報_總資產成長率(%),695
技術指標_週ADX(14),693
技術指標_季+DM(14),683
買超第12名分點前6天券商代號,681
上市加權指數前5天成交量,680
個股主力買賣超統計_近10日主力買賣超(%),679
技術指標_月+DI(14),663
上市加權指數前16天成交量,657
技術指標_季-DI(14),654
技術指標_季ADXR(14),640
買超第13名分點前2天買均張,634
技術指標_ADXR(14),633
上市加權指數10天波動度,632
技術指標_季+DI(14),632
個股前6天成交量,630
技術指標_週RSI(5),630
個股主力買賣超統計_近1日主力買賣超(%),628
上市加權指數前18天成交量,627
技術指標_ADX(14),627
賣超第15名分點前12天券商代號,626
技術指標_季RSI(10),624
技術指標_月-DI(14),622
上市加權指數前1天成交量,621
主力券商_前16天分點買賣力,616
主力券商_分點買賣力,614
技術指標_D(9),613
上市加權指數前6天成交量,606
外資券商_分點買賣力,604
外資券商_前15天分點出貨比(%),602
技術指標_季RSI(5),601
上市加權指數前4天成交量,594
賣超第6名分點前8天券商代號,593
技術指標_RSI(10),590
上市加權指數5天報酬率,587
個股5天報酬率,585
季IFRS財報_稅前純益佔實收資本比率(%),570
買超第5名分點前2天券商代號,566
主力券商_前1天分點吃貨比(%),560
上市加權指數10天乖離率,559
個股券商分點區域分析_近5日成交5分點區域密度,558
技術指標_週K(9),555
個股5天乖離率,554
主力券商_前5天分點出貨比(%),549
個股主力買賣超統計_近240日主力買賣超(%),549
個股主力買賣超統計_近20日主力買賣超(%),549
季IFRS財報_原始累計每股營業利益(元),548
技術指標_月D(9),544
個股券商分點區域分析_近20日成交5分點區域密度,543
技術指標_CM-VIX(%),539
季IFRS財報_原始累計每股營業額(元),538
個股1天報酬率,537
上市加權指數前10天成交量,530
個股券商分點區域分析_近1日賣超5分點區域密度,529
上市加權指數前9天收盤價,524
上市加權指數前20天成交量,523
上市加權指數前8天成交量,523
技術指標_TR(1),521
上市加權指數前12天成交量,517
技術指標_週D(9),513
技術指標_EWMA波動率(%),505
個股券商分點籌碼分析_近20日賣出分佈係數,505
季IFRS財報_營業利益佔實收資本比率累季(%),500
技術指標_月K(9),488
技術指標_K(9),485
上市加權指數前14天成交量,485
個股主力買賣超統計_近60日主力買賣超(%),478
上市加權指數前11天成交量,468
技術指標_週RSI(10),468
技術指標_MACD,464
上市加權指數前9天成交量,457
技術指標_RSI(5),455
個股券商分點區域分析_近5日成交3分點區域密度,453
技術指標_相對強弱比(週),446
技術指標_+DI(14),444
技術指標_W%R(5),440
個股券商分點籌碼分析_交易賣出佔有率(%),435
季IFRS財報_營業利益佔實收資本比率(%),434
技術指標_月RSI(5),422
技術指標_W%R(10),412
上市加權指數前7天收盤價,399
技術指標_乖離率(250日),393
個股券商分點區域分析_近60日成交2分點區域密度,389
上市加權指數前4天收盤價,367
上市加權指數前15天收盤價,317
上市加權指數前18天收盤價,311
上市加權指數前14天收盤價,285
上市加權指數前12天收盤價,263
上市加權指數前3天收盤價,260
上市加權指數前20天收盤價,249
