dataset,feature,mean_abs_shap
chunk_3,技術指標_月K(9),1.50262170311838
chunk_1,技術指標_月RSI(10),0.8184817584297673
chunk_1,技術指標_季K(9),0.6067977817261181
chunk_1,技術指標_週RSI(5),0.602470778644259
chunk_1,上市加權指數前12天成交量,0.5159655434319755
chunk_1,上市加權指數19天乖離率,0.4757523480295947
chunk_1,技術指標_相對強弱比(週),0.383162989458586
chunk_1,上市加權指數前13天成交量,0.3673921771901284
chunk_1,上市加權指數前18天成交量,0.3615169138408101
chunk_1,上市加權指數前2天成交量,0.3607052987244232
chunk_1,上市加權指數10天乖離率,0.349357679688874
chunk_1,上市加權指數前1天成交量,0.3285192626713014
chunk_1,上市加權指數5天乖離率,0.3279714269447665
chunk_2,外資券商_分點出貨比(%),0.3265112857729821
chunk_2,技術指標_季-DI(14),0.3225815145324149
chunk_1,技術指標_W%R(10),0.3100615690452206
chunk_1,技術指標_季RSI(5),0.2971038323501698
chunk_1,技術指標_RSI(5),0.2957122494941744
chunk_1,上市加權指數前17天成交量,0.2868431055332026
chunk_1,技術指標_Alpha(250D),0.2743318658434248
chunk_1,上市加權指數20天波動度,0.2721091785414042
chunk_1,上市加權指數前15天收盤價,0.2630794205999805
chunk_1,上市加權指數前18天收盤價,0.2579792717447045
chunk_2,主力券商_前1天分點出貨比(%),0.2569365800644065
chunk_1,技術指標_季+DI(14),0.2522168986630093
chunk_1,技術指標_月RSI(5),0.249723603222123
chunk_1,上市加權指數20天報酬率,0.2413970067590943
chunk_1,上市加權指數10天波動度,0.2362940462545194
chunk_1,上市加權指數前17天收盤價,0.2242362165785755
chunk_2,技術指標_SAR,0.2237098047719821
chunk_1,個股券商分點籌碼分析_近60日買進分佈係數,0.2210688860439413
chunk_2,季IFRS財報_營業利益佔實收資本比率(%),0.2169893953857768
chunk_1,個股券商分點籌碼分析_分點賣出熱門度(%),0.2098856317435375
chunk_1,技術指標_月D(9),0.2076457110631906
chunk_1,上市加權指數前7天收盤價,0.2063406189789124
chunk_1,技術指標_近三月歷史波動率(%),0.2050085995665069
chunk_1,技術指標_月-DI(14),0.2044438223105899
chunk_1,主力券商_前20天分點吃貨比(%),0.1929770192458479
chunk_1,上市加權指數20天成交量波動度,0.1901318844109911
chunk_1,技術指標_近九月歷史波動率(%),0.1875666816063259
chunk_1,技術指標_週D(9),0.1875180605442837
chunk_1,技術指標_W%R(5),0.1843057341345004
chunk_1,上市加權指數前5天成交量,0.1817049194471819
chunk_3,主力券商_前11天分點吃貨比(%),0.1792507928304736
chunk_1,上市加權指數前19天收盤價,0.1737055772026204
chunk_1,上市加權指數前20天收盤價,0.1694224973330529
chunk_1,主力券商_前14天分點吃貨比(%),0.1688495847198166
chunk_1,賣超第15名分點前5天賣均價,0.1564490382225196
chunk_2,外資券商_前2天分點出貨比(%),0.1563259320684457
chunk_1,上市加權指數前12天收盤價,0.1518124338882991
chunk_1,上市加權指數5天報酬率,0.1508812870802475
chunk_1,上市加權指數前9天成交量,0.1508487819445395
chunk_1,個股券商分點區域分析_近60日成交1公司區域密度,0.1502875119169432
chunk_2,個股主力買賣超統計_近20日主力買賣超(%),0.1487442683649037
chunk_1,外資券商_前9天分點出貨比(%),0.1486672055713705
chunk_1,上市加權指數前4天成交量,0.147216735368917
chunk_1,個股券商分點籌碼分析_賣出分佈係數,0.1463902662212075
chunk_1,外資券商_前1天分點出貨比(%),0.1452714367852847
chunk_1,技術指標_近一月歷史波動率(%),0.1444813222512036
chunk_3,主力券商_前10天分點吃貨比(%),0.1406802379117418
chunk_1,技術指標_週RSI(10),0.1401158509882926
chunk_1,個股券商分點區域分析_近60日成交5公司區域密度,0.1391695018716219
chunk_1,主力券商_前9天分點吃貨比(%),0.1391194814476647
chunk_1,上市加權指數前14天收盤價,0.1389272353830401
chunk_1,主力券商_分點買賣力,0.1359767855641486
chunk_1,個股券商分點籌碼分析_分點買進熱門度(%),0.1341400172139975
chunk_1,技術指標_季ADX(14),0.1326900585785183
chunk_1,上市加權指數前16天成交量,0.132490928539362
chunk_1,上市加權指數前3天收盤價,0.1313625049492143
chunk_1,主力券商_前12天分點出貨比(%),0.1291195552700384
chunk_1,個股券商分點區域分析_近60日成交3公司區域密度,0.1255811293389751
chunk_1,主力券商_前3天分點吃貨比(%),0.1254609216151248
chunk_1,個股5天報酬率,0.1235589690018297
chunk_1,個股券商分點籌碼分析_交易賣出佔有率(%),0.1217694686434979
chunk_1,季IFRS財報_DPZ等級,0.1197401208885367
chunk_1,賣超第15名分點前7天賣均價,0.1187332496179703
chunk_1,技術指標_Beta係數(65D),0.1174625337673999
chunk_1,上市加權指數前8天成交量,0.1170080014073437
chunk_3,賣超第11名分點前1天賣筆數,0.1166672019155055
chunk_1,技術指標_EWMA波動率(%),0.1164702345357531
chunk_1,上市加權指數前4天收盤價,0.1157406674109221
chunk_1,主力券商_分點吃貨比(%),0.1133620186676969
chunk_1,主力券商_前15天分點吃貨比(%),0.1130698247404203
chunk_1,個股主力買賣超統計_近10日主力買賣超(%),0.1123623534878055
chunk_1,個股券商分點籌碼分析_交易買賣佔有率(%),0.1120205561419903
chunk_1,個股券商分點籌碼分析_分點交易熱門度(%),0.1104684834177532
chunk_1,個股券商分點區域分析_近60日成交5與公司接近比例,0.1095372312925257
chunk_2,技術指標_季+DM(14),0.1084348239640319
chunk_1,外資券商_前15天分點出貨比(%),0.1076379415476639
chunk_1,上市加權指數1天報酬率,0.1070763303601822
chunk_1,上市加權指數前6天成交量,0.1068280029413773
chunk_1,個股5天乖離率,0.1063725483389184
chunk_1,賣超第14名分點前9天賣均價,0.105692165148601
chunk_1,主力券商_前16天分點吃貨比(%),0.1050886250316545
chunk_1,日自營_自營商持股成本,0.1029910577978385
chunk_1,個股1天報酬率,0.102629246459589
chunk_3,買超第12名分點前4天買均價,0.1022467057524606
chunk_2,個股券商分點區域分析_近1日買超2分點區域密度,0.0966769832368809
chunk_2,季IFRS財報_現金與流動資產比率(%),0.0962503244975325
chunk_1,技術指標_月+DI(14),0.0954862408461464
chunk_3,個股券商分點區域分析_近20日賣超5分點區域密度,0.0953914634485127
chunk_2,個股券商分點區域分析_近5日賣超3公司區域密度,0.0944177999845064
chunk_1,賣超第10名分點前20天賣均價,0.0941013658290512
chunk_2,個股券商分點籌碼分析_近20日賣出分佈係數,0.0940979163643486
chunk_2,個股券商分點區域分析_近5日成交3分點區域密度,0.0914806001711097
chunk_1,季IFRS財報_稅前純益佔實收資本比率(%),0.0914131767084146
chunk_2,個股券商分點區域分析_近60日買超5分點間接近比例,0.0904825479609022
chunk_2,賣超第11名分點前10天賣均價,0.0895692246115261
chunk_2,賣超第9名分點前4天賣均價,0.0887234648767814
chunk_2,買超第11名分點前16天金額增減(千),0.088316020654621
chunk_1,外資券商_前6天分點吃貨比(%),0.0881133685268849
chunk_2,賣超第15名分點前5天金額增減(千),0.0877859950334566
chunk_1,外資券商_分點買賣力,0.086724589614056
chunk_2,季IFRS財報_營業利益佔實收資本比率累季(%),0.0862490930390937
chunk_1,買超第9名分點前15天券商代號,0.0857382269841693
chunk_1,外資券商_前5天分點吃貨比(%),0.0851793563866582
chunk_1,買超第8名分點前2天買均價,0.0849758651741567
chunk_2,個股主力買賣超統計_近240日主力買賣超(%),0.0847291311343112
chunk_1,主力券商_前17天分點吃貨比(%),0.0842919758583959
chunk_1,個股券商分點區域分析_近20日賣超3公司區域密度,0.0841108794986575
chunk_1,技術指標_+DI(14),0.0837116748259772
chunk_1,個股券商分點區域分析_近60日買超3公司區域密度,0.0835181514274971
chunk_1,技術指標_月ADX(14),0.0817524095735391
chunk_1,主力券商_前1天分點吃貨比(%),0.0811485584666522
chunk_1,買超第8名分點前7天買均價,0.0795346277387124
chunk_1,主力券商_前11天分點出貨比(%),0.0770908422122778
chunk_1,上市加權指數10天成交量波動度,0.0770655206737288
chunk_2,買超第13名分點買均價,0.0767602837097136
chunk_1,主力券商_前18天分點吃貨比(%),0.0765818254728296
chunk_1,主力券商_前5天分點出貨比(%),0.0762916490268049
chunk_1,買超第8名分點前4天買均價,0.0759443121795289
chunk_2,買超第14名分點前16天張增減,0.0757488167670322
chunk_2,技術指標_TR(1),0.0753781573440445
chunk_1,主力券商_前18天分點出貨比(%),0.0752998034776972
chunk_1,技術指標_乖離率(250日),0.0752501158934291
chunk_1,季IFRS財報_總資產週轉率累季(次),0.074941604752113
chunk_3,技術指標_季MACD,0.0742696664683808
chunk_2,賣超第15名分點前13天賣均價,0.0738733976239313
chunk_1,買超第13名分點前11天買筆數,0.0737840136770045
chunk_1,賣超第3名分點前1天券商代號,0.0724592327494673
chunk_3,賣超第13名分點前4天賣均價,0.0724453717560163
chunk_2,買超第15名分點前1天買均價,0.0722654552993273
chunk_1,技術指標_近六月歷史波動率(%),0.0722268382020761
chunk_1,買超第4名分點前20天賣筆數,0.0717736677778569
chunk_1,賣超第4名分點前4天券商代號,0.0716904250778507
chunk_2,賣超第14名分點前10天賣均價,0.0713203350431029
chunk_1,個股券商分點區域分析_近20日賣超5與公司接近比例,0.0710865349563825
chunk_1,賣超第11名分點前13天賣均價,0.0701622736071369
chunk_2,賣超第9名分點前18天賣筆數,0.0701065032891685
chunk_1,技術指標_週ADX(14),0.0700787487276593
chunk_2,個股券商分點區域分析_近1日成交5分點間接近比例,0.070013374258533
chunk_2,賣超第10名分點前3天賣均價,0.0696010529472626
chunk_1,買超第15名分點前4天買金額(千),0.0689818595091779
chunk_3,買超第15名分點前17天買筆數,0.0687812915036603
chunk_1,賣超第10名分點前7天券商代號,0.068738722841618
chunk_1,技術指標_-DM(14),0.0686145589402475
chunk_1,賣超第5名分點前5天券商代號,0.0684906528743582
chunk_1,買超第2名分點前6天買筆數,0.0682699979500475
chunk_1,買超第4名分點前17天券商代號,0.0682007715641031
chunk_2,賣超第6名分點前7天張增減,0.0680719563383915
chunk_1,技術指標_季TR(14),0.0680690207247493
chunk_1,外資券商_分點吃貨比(%),0.0680449609525637
chunk_1,賣超第7名分點前17天賣筆數,0.0677372586121142
chunk_1,賣超第3名分點前15天券商代號,0.0676859322333015
chunk_1,個股券商分點區域分析_近20日賣超5公司區域密度,0.0676556246133592
chunk_1,主力券商_前8天分點吃貨比(%),0.0672316304117655
chunk_2,買超第2名分點前11天賣均價,0.0668891933222626
chunk_2,買超第9名分點前4天買均價,0.0663316428122233
chunk_2,買超第11名分點前4天買均價,0.0662965703580186
chunk_1,上市加權指數10天報酬率,0.0656106862818639
chunk_1,上市加權指數前20天成交量,0.0654367270678265
chunk_1,買超第1名分點前13天買筆數,0.0652718989705164
chunk_1,買超第13名分點前11天賣筆數,0.0645811405142829
chunk_1,賣超第12名分點前10天賣均價,0.0644821425721042
chunk_1,賣超第15名分點前2天賣均價,0.064413312976961
chunk_1,賣超第13名分點前15天券商代號,0.0642892973379524
chunk_2,買超第9名分點前14天張增減,0.0642680772173688
chunk_2,賣超第9名分點前3天張增減,0.0639600046072258
chunk_1,賣超第12名分點前2天賣均價,0.0639396206643833
chunk_1,賣超第8名分點前10天券商代號,0.0639197102086201
chunk_1,賣超第2名分點前7天券商代號,0.0638563014407653
chunk_2,買超第1名分點前1天買筆數,0.0632487465400461
chunk_1,買超第9名分點前9天券商代號,0.0630257746020803
chunk_1,賣超第8名分點前15天賣筆數,0.0626701602513593
chunk_1,買超第7名分點前2天券商代號,0.0626188697773514
chunk_1,買超第6名分點前9天券商代號,0.0625598473441936
